,base_market,quote_market,hedge_ratio,half_life
0,ZEC-USD,ETC-USD,0.8483047851695928,8.0
1,ZEC-USD,BTC-USD,0.0003631644136741145,22.0
2,ZEC-USD,CELO-USD,28.59132009764555,6.0
3,ZEC-USD,ADA-USD,50.49977655522003,11.0
4,ZEC-USD,UNI-USD,3.1313165076037,17.0
5,ZEC-USD,EOS-USD,28.58027319340029,13.0
6,ZEC-USD,LTC-USD,0.2821689559055691,8.0
7,AAVE-USD,YFI-USD,0.012563944205209746,13.0
8,AAVE-USD,FIL-USD,14.848909532073359,9.0
9,AAVE-USD,DOT-USD,12.36747731969017,6.0
10,AAVE-USD,XLM-USD,803.8939236131561,13.0
11,ETC-USD,YFI-USD,0.0039390177841050235,13.0
12,ETC-USD,CELO-USD,33.70231533204398,4.0
13,ETC-USD,ADA-USD,59.5185325850822,8.0
14,ETC-USD,ENJ-USD,91.28118933893927,19.0
15,ETC-USD,LTC-USD,0.3325291354144386,12.0
16,XTZ-USD,YFI-USD,0.00013498687545228792,16.0
17,XTZ-USD,COMP-USD,0.016533254355352887,8.0
18,XTZ-USD,FIL-USD,0.159544250784795,9.0
19,XTZ-USD,MATIC-USD,1.3314869574494435,8.0
20,XTZ-USD,SNX-USD,0.3514563975531256,20.0
21,XTZ-USD,XLM-USD,8.637705306031627,10.0
22,XTZ-USD,EOS-USD,1.1543905881305383,6.0
23,LINK-USD,ZRX-USD,29.101240263731622,20.0
24,BCH-USD,ICP-USD,36.11294236899528,13.0
25,BCH-USD,DOT-USD,64.94963504261244,11.0
26,BCH-USD,1INCH-USD,1206.2505408205009,10.0
27,YFI-USD,CRV-USD,16024.121452587431,8.0
28,YFI-USD,CELO-USD,8551.231819606559,9.0
29,YFI-USD,UNI-USD,936.7185750434503,19.0
30,YFI-USD,XLM-USD,63977.35512694349,10.0
31,YFI-USD,EOS-USD,8549.790182579814,13.0
32,DOGE-USD,COMP-USD,0.0026814210977648637,22.0
33,DOGE-USD,ICP-USD,0.011980975845363511,21.0
34,DOGE-USD,FIL-USD,0.025878455999964738,17.0
35,DOGE-USD,MATIC-USD,0.21594095407738745,21.0
36,DOGE-USD,DOT-USD,0.02155087937016653,17.0
37,DOGE-USD,ETH-USD,4.988587802846591e-05,19.0
38,DOGE-USD,XLM-USD,1.4008986175682492,20.0
39,DOGE-USD,EOS-USD,0.18722387231617463,21.0
40,MKR-USD,ICP-USD,220.5760507661164,13.0
41,COMP-USD,FIL-USD,9.648250300444536,10.0
42,COMP-USD,SNX-USD,21.25071760598392,24.0
43,COMP-USD,ETH-USD,0.01859502010363435,11.0
44,COMP-USD,XLM-USD,522.34015600016,11.0
45,COMP-USD,EOS-USD,69.81180505060154,7.0
46,ICP-USD,1INCH-USD,33.37662099798502,12.0
47,ICP-USD,AVAX-USD,0.3579953479203069,14.0
48,ICP-USD,UNI-USD,1.7106376217457206,17.0
49,ICP-USD,ETH-USD,0.0041589532680509555,16.0
50,FIL-USD,MATIC-USD,8.344727390803092,7.0
51,FIL-USD,AVAX-USD,0.16586538083899927,14.0
52,FIL-USD,SNX-USD,2.2029067389243333,10.0
53,FIL-USD,XLM-USD,54.12786807393826,16.0
54,MATIC-USD,AVAX-USD,0.019874486586645205,20.0
55,MATIC-USD,SNX-USD,0.2639618459065663,15.0
56,MATIC-USD,XLM-USD,6.486106663920497,18.0
57,MATIC-USD,EOS-USD,0.8668578209911707,13.0
58,CRV-USD,XLM-USD,3.9919211220021467,13.0
59,CRV-USD,EOS-USD,0.5334900744718293,10.0
60,CRV-USD,ATOM-USD,0.048931730214352355,18.0
61,DOT-USD,AVAX-USD,0.19914548947641725,14.0
62,DOT-USD,SNX-USD,2.6444129364171634,21.0
63,DOT-USD,XLM-USD,64.99500371761768,12.0
64,DOT-USD,EOS-USD,8.68666459673802,9.0
65,CELO-USD,ADA-USD,1.7655646511908245,4.0
66,1INCH-USD,ENJ-USD,1.2679174593269116,8.0
67,1INCH-USD,AVAX-USD,0.010723853592545579,15.0
68,1INCH-USD,ETH-USD,0.00012458919765553155,8.0
69,ADA-USD,ENJ-USD,1.533807672199905,16.0
70,AVAX-USD,UNI-USD,4.777202928292596,14.0
71,AVAX-USD,ETH-USD,0.011611829174380922,24.0
72,ETH-USD,XLM-USD,28087.694550075666,13.0
